County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Atlantic County, New Jersey",30.39,23.99,24.92,29.57,28.3
"Montgomery County, Pennsylvania",30.36,37.66,35.11,34.71,32.53
"Butler County, Pennsylvania",30.33,29.7,30.3,26.67,30.74
"Grant County, Kansas",30.3,24.46,22.32,8.38,12.54
"Martin County, Florida",30.28,21.38,27.96,13.5,19.37
"Kinney County, Texas",30.27,39.13,52.06,48.09,47.39
"Fond du Lac County, Wisconsin",30.23,29.24,35.94,36.95,41.25
"Franklin County, Vermont",30.06,34.61,35.85,41.18,48.81
"Berkshire County, Massachusetts",29.98,38.25,51.69,61.07,45.6
"Indian River County, Florida",29.95,26.45,26.68,12.54,7.58
"Iron County, Wisconsin",29.93,36.73,28.13,26.75,42.24
"Aurora County, South Dakota",29.92,45.28,33.09,51.58,32.44
"Pecos County, Texas",29.92,23.86,17.31,17.41,31.86
"Miami-Dade County, Florida",29.89,21.81,24.1,18.8,
"Orange County, California",29.88,26.49,27.39,20.89,18.17
"New Haven County, Connecticut",29.86,35.33,38.76,45.8,50.38
"Chickasaw County, Iowa",29.85,34.54,49.34,33.8,41.58
"Bowman County, North Dakota",29.8,51.09,35.23,30.7,25.89
"Madera County, California",29.78,37.49,19.44,13.62,18.21
"Middlesex County, New Jersey",29.75,39.8,45.74,49.37,48.75
"Hudson County, New Jersey",29.74,44.29,52.22,58.62,60.26
"Washington County, Kansas",29.66,22.19,18.48,28.14,23.29
"Valley County, Nebraska",29.59,22.77,30.49,19.48,22.47
"Ventura County, California",29.59,28.25,29.31,35.49,20.33
"Cooke County, Texas",29.51,22.67,22.47,18.55,13
"Evangeline Parish, Louisiana",29.5,57.84,57.34,59.54,61.79
"Nobles County, Minnesota",29.42,26.29,31.39,28.24,29.84
"Titus County, Texas",29.39,25.28,9.74,4.17,1.46
"Hudspeth County, Texas",29.36,42,49.22,63.12,58.65
"Costilla County, Colorado",29.27,92.51,85.29,65.52,81.41
"Ozaukee County, Wisconsin",29.26,33.15,38.57,35.07,41.03
"Grimes County, Texas",29.25,26.77,19.16,16.46,22.72
"Boone County, Illinois",29.16,19.24,19.07,10.75,11.55
"Niagara County, New York",29.11,24,35.72,42.52,37.53
"Brown County, South Dakota",29.09,23.39,29.55,27.36,22.2
"Edwards County, Kansas",29.07,35.92,32.42,25.38,27.21
"Power County, Idaho",29.04,26.51,19.5,10.58,5.11
"Lincoln County, Minnesota",28.97,28.38,28.31,32.73,27.61
"Glenn County, California",28.9,21.73,25.4,19.67,20.99
"St. Mary Parish, Louisiana",28.87,32.63,45.91,49,45.75
"Cook County, Illinois",28.86,37.48,39.93,41.55,43.85
"Burleson County, Texas",28.81,12.47,9.19,11.05,9.99
"Grant County, New Mexico",28.73,32.48,70,45.42,50.15
"Washington County, Kentucky",28.64,31.77,47.87,36.56,37.39
"Redwood County, Minnesota",28.59,27.6,32.22,34.56,31.54
"Scott County, Minnesota",28.58,30.72,24.76,58.42,58.73
"Runnels County, Texas",28.57,30.47,28.71,19.95,26.03
"Somerset County, New Jersey",28.44,30.59,39.88,38.04,37.95
