County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Cumberland County, New Jersey",0.17,0.5,1.37,2.14,0.38
"El Paso County, Texas",0.17,0.24,0.74,0.83,0.31
"Peoria County, Illinois",0.17,0.21,0.44,0.31,0.29
"Muscogee County, Georgia",0.17,0.24,0.59,0.51,0.1
"Glynn County, Georgia",0.17,0.18,0.15,0.16,0.09
"Hernando County, Florida",0.17,0.18,0.01,1.37,0
"Warren County, New Jersey",0.17,0.19,0.39,0.44,0
"Pitt County, North Carolina",0.17,0.08,0.18,0.28,0
"Sangamon County, Illinois",0.16,0.22,0.58,0.56,0.43
"Olmsted County, Minnesota",0.16,0.27,0.48,0.38,0.24
"Lee County, Florida",0.16,0.24,1.22,1.19,0.23
"Kent County, Michigan",0.16,0.19,0.31,0.22,0.19
"Marathon County, Wisconsin",0.16,0.17,0.24,0.21,0.17
"Anchorage Municipality, Alaska",0.16,0.16,0.88,0,0.16
"Hamilton County, Tennessee",0.15,0.37,0.47,0.39,0.3
"Oklahoma County, Oklahoma",0.15,0.17,0.35,0.24,0.21
"Escambia County, Florida",0.15,0.2,0.17,0.22,0.21
"Berrien County, Michigan",0.15,0.16,0.15,0.31,0.12
"Story County, Iowa",0.15,0.19,0.88,0.27,0.12
"Greenville County, South Carolina",0.15,0.18,0.32,0.18,0.11
"Ontario County, New York",0.15,0.15,0.3,2.61,0
"Kauai County, Hawaii",0.15,,0.17,,
"St. Lucie County, Florida",0.14,,1.64,2.33,1.27
"Charlotte County, Florida",0.14,0.22,1.84,0.36,0.4
"Tippecanoe County, Indiana",0.14,0.25,0.37,0.38,0.21
"Garland County, Arkansas",0.14,0.15,0.17,0,0.21
"Lancaster County, Nebraska",0.14,0.19,0.28,0.39,0.2
"Salt Lake County, Utah",0.14,0.08,0.47,0.28,0.19
"McLean County, Illinois",0.14,0.14,0.33,0.13,0.18
"Madison County, Alabama",0.14,0.19,0.27,0.06,0.16
"Fayette County, Georgia",0.14,0.26,2.74,2.29,0
"Seminole County, Florida",0.14,0.23,0.99,1.69,0
"Doña Ana County, New Mexico",0.14,0.25,0.34,0.39,0
"Yavapai County, Arizona",0.14,0.19,0.18,0.14,0
"Citrus County, Florida",0.14,,0.1,0.11,0
"Volusia County, Florida",0.13,0.21,1.74,0.67,0.34
"York County, Pennsylvania",0.13,0.17,0.47,0.36,0.23
"Mobile County, Alabama",0.13,0.23,0.28,0.23,0.19
"Shawnee County, Kansas",0.13,0.16,0.24,0.31,0.18
"Erie County, Ohio",0.13,0.15,0.13,0.17,0.15
"San Luis Obispo County, California",0.13,0.34,0.69,0.69,0.12
"Washoe County, Nevada",0.13,0.15,0.59,0.55,0.12
"DuPage County, Illinois",0.13,0.17,0.21,4.09,0.09
"Virginia Beach city, Virginia",0.13,0.26,1.79,2.59,0.06
"Spokane County, Washington",0.13,0.17,0.36,0.22,0.05
"El Dorado County, California",0.13,0.07,0.1,0.84,0
"Kendall County, Texas",0.13,,,,
"Ouachita Parish, Louisiana",0.12,0.13,0.27,0.37,0.3
"Lake County, Indiana",0.12,0.29,0.41,0.38,0.24
"Harford County, Maryland",0.12,0.22,0.55,0.55,0.2
"Jefferson County, Colorado",0.12,0.15,0.83,2.43,0
"Porter County, Indiana",0.12,,,0.38,0
"York County, Virginia",0.12,,,0.37,0
"Henrico County, Virginia",0.11,,,0.71,0.63
"Allen County, Indiana",0.11,0.14,0.29,0.3,0.22
"Nueces County, Texas",0.11,0.14,0.45,0.4,0.21
"Smith County, Texas",0.11,0.14,0.23,0.3,0.21
"Wicomico County, Maryland",0.11,0.24,0.47,0.54,0.19
"Genesee County, Michigan",0.11,0.16,0.34,0.42,0.19
