County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Blaine County, Oklahoma",51.83,34.62,43.28,48.03,40.1
"Winston County, Mississippi",51.8,50.11,45.21,47.08,43.27
"Little River County, Arkansas",51.78,48.64,44.76,37.96,34.66
"Clarke County, Mississippi",51.69,58.85,50.46,51.84,46.58
"Warren County, Georgia",51.47,39.85,25.52,23.53,22.59
"Bradley County, Tennessee",51.45,51.53,47.13,48,43.82
"Franklin County, Georgia",51.35,59.28,56.59,64.16,94.36
"Swisher County, Texas",51.33,52.81,60.34,64.76,52.11
"Lawrence County, Mississippi",51.32,56,55.31,59.95,54.35
"Taylor County, Kentucky",51.31,50.25,55.16,56.78,52.55
"Drew County, Arkansas",51.23,48.61,52.71,39.42,40.56
"Clay County, Texas",51.13,50.23,61.48,65.29,54.64
"Jasper County, Texas",51.11,50.74,47.41,51.76,47.74
"Mercer County, Kentucky",51,63.52,61.69,69.02,59.09
"Appomattox County, Virginia",50.98,24.2,42.39,42.25,39.23
"Keya Paha County, Nebraska",50.98,36.89,35.2,34.5,28.82
"Roane County, Tennessee",50.95,54.45,49.91,54.62,46.53
"Crenshaw County, Alabama",50.94,53.52,48.73,48.8,46.93
"Pemiscot County, Missouri",50.94,50.64,53.92,51.59,44.15
"Major County, Oklahoma",50.91,51.22,52.74,51.28,41.62
"Arkansas County, Arkansas",50.88,51.05,49.3,38.99,8.63
"Fayette County, Alabama",50.83,55.04,47.98,56.85,45.39
"Coal County, Oklahoma",50.82,54.51,46.49,44.95,39.89
"Mayes County, Oklahoma",50.81,40.44,40.88,47.46,41
"Titus County, Texas",50.71,47.73,54,51.21,50.46
"Sharp County, Arkansas",50.67,54.88,49.89,35.63,39.05
"Morgan County, Tennessee",50.64,38.91,44.23,41.94,41.63
"Stephens County, Oklahoma",50.62,52.74,63.4,61.13,53.74
"Glades County, Florida",50.57,15.39,13.92,15.91,18.84
"Macon County, Missouri",50.54,56.3,45.01,44.95,41.4
"Wayne County, Mississippi",50.46,46.54,42.74,43.11,38.4
"Gentry County, Missouri",50.42,43.23,45.55,47.43,45.58
"Grant County, Oklahoma",50.42,43.16,51.07,44.47,33.57
"Lauderdale County, Mississippi",50.41,46.88,47.14,46.21,40.9
"Runnels County, Texas",50.19,46.41,43.14,47.34,46.69
"Clark County, Illinois",50.09,44.13,40.77,39.72,31.18
"Lawrence County, Tennessee",49.96,50.29,51.42,49.32,47.22
"Gibson County, Tennessee",49.94,54.81,56.69,56.25,52.56
"Craig County, Oklahoma",49.93,53.81,53.85,50.23,48.45
"Carter County, Oklahoma",49.88,48.29,58.86,61.71,49.42
"Choctaw County, Mississippi",49.79,45.85,46.34,57.09,52.76
"Pottawatomie County, Oklahoma",49.74,54.33,53.27,55.92,46.43
"Saline County, Illinois",49.68,51.19,48.12,51.63,49.29
"Sherman County, Texas",49.68,47.23,43.16,45.17,37.02
"Union County, Arkansas",49.62,54.54,53.86,52.62,47.03
"Custer County, Oklahoma",49.6,52.11,56.77,59.12,47.46
"Marion County, Alabama",49.55,52.99,52.46,54.24,34.4
"Potter County, Texas",49.25,50.23,55.34,66.1,54.99
"Dawson County, Montana",49.25,25.03,20.77,19.88,15.37
"Covington County, Alabama",49.07,53.1,61.95,64.63,60.12
"Butler County, Alabama",49.06,41.96,40.18,43.09,42.25
"Ellis County, Oklahoma",49.05,50.57,52.22,53.88,40.89
"Meade County, Kansas",49.05,31.04,34.98,23.69,21.95
"Perry County, Mississippi",49.03,48.58,55.39,58.88,54.44
"Geneva County, Alabama",48.98,47.81,56.22,58.93,52.27
"Lyon County, Kentucky",48.93,50.63,46.31,53.67,50.4
"Dickens County, Texas",48.76,50.57,66.11,88.64,67.42
"Monroe County, Kentucky",48.69,43.32,47.98,46.67,42.43
"Pickens County, Alabama",48.59,49.6,47.15,46.13,38.01
"Forrest County, Mississippi",48.55,45.07,52.61,49.92,43.57
"Moultrie County, Illinois",48.52,34.68,20.89,22.81,15.71
"Blaine County, Nebraska",48.49,50.21,7.2,8.15,21.22
"Cimarron County, Oklahoma",48.48,54.26,60.42,60.86,62.01
"DeKalb County, Alabama",48.43,45.76,52.45,56.27,44.38
"Schuyler County, Missouri",48.39,42.18,45.06,48.16,38.18
"Brown County, Texas",48.37,61.95,54.56,53.04,48.11
"Lee County, Virginia",48.31,45.86,55.46,52.72,38.42
"Bowie County, Texas",48.25,44.35,46.79,45.43,43.41
