County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Rapides Parish, Louisiana",8.32,4.23,,7.21,0
"Marion County, Indiana",8.3,3.48,0.01,8.37,2.62
"Duval County, Florida",8.29,6.19,0.06,7.95,0.17
"Carter County, Oklahoma",8.23,1.37,,2.59,0.14
"Chatham County, North Carolina",8.21,6.51,,22.58,21.08
"Hopkins County, Texas",8.12,2.83,,2.89,1.78
"Clark County, Arkansas",8.11,5.61,,6.65,0
"Norfolk city, Virginia",8.05,4.94,,13.02,3.43
"Talladega County, Alabama",7.99,4.43,,13.91,5.02
"Cross County, Arkansas",7.97,7.21,,7.75,7.83
"Sampson County, North Carolina",7.96,4.57,,20.3,9.81
"Mitchell County, Georgia",7.96,8.2,0.26,29.18,0.72
"Sumter County, Georgia",7.94,8.78,,18.23,0
"Talbot County, Georgia",7.92,6.06,,36.33,13.26
"Howard County, Missouri",7.9,1.18,,1.99,0
"Tate County, Mississippi",7.83,9.18,,15.3,2.65
"Red River Parish, Louisiana",7.82,2.74,,15.87,0
"San Augustine County, Texas",7.81,7.39,,12.94,4.26
"Midland County, Texas",7.77,1.02,,3.43,0.4
"Pike County, Alabama",7.73,11.17,,13.51,1.52
"Marengo County, Alabama",7.71,14.54,0,44.25,17.3
"Hickman County, Kentucky",7.7,3.65,,2.64,3.69
"Jones County, Georgia",7.69,6.15,,7.67,6.96
"Edgecombe County, North Carolina",7.67,2.47,,22.8,5.55
"Clay County, Alabama",7.67,1.3,,5.8,0
"Washington Parish, Louisiana",7.58,5.48,,8.9,0
"Screven County, Georgia",7.56,9.73,,19.38,2.21
"Cumberland County, North Carolina",7.53,4.6,,13.89,6.12
"Madison County, Tennessee",7.5,5.9,,13.79,15.45
"Duplin County, North Carolina",7.47,4.38,,11.97,1.92
"Colleton County, South Carolina",7.46,7.74,,14.27,5.98
"Saginaw County, Michigan",7.46,5.02,,6.29,0
"McDowell County, West Virginia",7.44,2.4,,6.84,1.87
"Portsmouth city, Virginia",7.44,2.34,,,
"Twiggs County, Georgia",7.43,4.58,,28.31,15.36
"Tallahatchie County, Mississippi",7.41,6.26,,28.36,5.18
